Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,2.43,-24.46,46.37,40.26,20.61,25.40,-36.17,17.75,-8.60,-39.38,-26.23,-24.86
1901,4.20,-21.11,-7.90,26.20,-42.00,29.46,-22.50,-11.28,8.61,5.91,-27.23,-29.15
1902,-4.14,-13.61,21.39,-41.43,-51.41,21.23,-35.56,-50.14,-18.44,-17.01,-33.69,53.04
1903,-20.90,-2.61,21.69,30.91,-25.14,11.96,12.64,-36.68,37.41,3.00,16.72,3.53
1904,41.78,20.58,-26.86,-25.54,-5.04,10.36,8.71,-14.62,-25.28,10.99,-13.70,-33.41
1905,-0.31,-2.17,-30.60,11.34,6.31,14.64,34.98,-37.99,0.61,27.61,-32.62,-7.39
1906,-36.22,-13.88,62.74,-29.18,18.30,33.26,6.03,-6.85,12.64,17.62,29.22,-11.86
1907,-22.50,-11.38,-19.41,16.71,-20.49,-11.10,-7.58,-3.70,-33.43,-32.77,-2.18,27.99
1908,-23.16,-2.26,-12.00,-39.13,-7.14,30.44,-29.76,-20.09,29.05,4.25,-21.04,-30.97
1909,-1.08,1.39,2.59,10.19,14.61,61.80,1.94,41.68,-16.80,-22.65,-30.27,-18.95
1910,2.33,-21.69,37.66,-37.93,-3.47,12.99,10.48,-18.64,38.74,-6.22,11.84,4.22
1911,9.69,105.33,42.14,-33.44,12.05,32.63,-13.23,-45.62,10.54,-36.25,-35.53,24.76
1912,-29.16,-7.01,-18.95,-18.46,-44.61,11.55,7.96,-26.58,41.02,-33.59,23.77,15.46
1913,-26.24,1.92,78.66,-22.11,5.24,-10.25,-38.78,-12.86,2.01,-1.00,-4.43,-20.69
1914,-14.51,-24.54,-5.33,3.21,-17.58,-35.43,-12.53,-62.34,-41.99,-59.17,-9.10,13.51
1915,-4.39,-19.45,-32.37,-16.11,6.45,39.68,-17.06,8.30,35.20,-0.07,-28.89,-33.18
1916,11.76,4.85,-28.79,-12.13,-35.72,29.74,9.35,12.29,66.47,13.67,45.66,14.46
1917,-6.93,28.63,-2.93,-15.91,14.39,31.31,26.69,12.70,29.15,46.53,11.71,-14.55
1918,10.31,2.24,19.08,-7.84,44.20,16.96,-4.19,-6.19,-26.40,-12.28,-39.92,-19.38
1919,-33.24,47.20,18.43,-27.74,3.03,-2.39,-26.73,-11.57,-5.50,-32.49,-29.77,29.83
