animal_taxon_name,Species,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of Records,Victoria : Conservation Status,EPBC Act Threatened Species,Weeds of National Significance (WoNS) as at Feb. 2013,VIC State Notifiable Pests,image_url,summary
Coridromius chenopoderis,https://biodiversity.org.au/afd/taxa/a1a0cc81-0742-44ee-9b44-93efd49dc1ca,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Coridromius,Plant Bug,8,,,,,https://images.ala.org.au/image/proxyImage?imageId=36ea68b0-b693-466e-a182-9dc9dcf81377,
Spodoptera exigua,https://biodiversity.org.au/afd/taxa/9f1ee1af-2241-4968-82df-42ebf351b8ea,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,Lesser Armyworm Moth,55,,,,,https://images.ala.org.au/image/proxyImage?imageId=e02d0afd-53d4-4e79-b91f-16379da498a5,"The beet armyworm or small mottled willow moth is one of the best-known agricultural pest insects. It is also known as the asparagus fern caterpillar. It is native to Asia, but has been introduced worldwide and is now found almost anywhere its many host crops are grown. The voracious larvae are the main culprits…"
Nezara viridula,https://biodiversity.org.au/afd/taxa/dafde291-d532-462b-8ca3-6c3d839cd719,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Nezara,Green Vegetable Bug,362,,,,,https://images.ala.org.au/image/proxyImage?imageId=560712ea-8199-4422-a730-8399a21033f8,"Nezara viridula, commonly known as the southern green stink bug (USA), southern green shield bug (UK) or green vegetable bug, is a plant-feeding stink bug. Believed to have originated in Ethiopia, it can now be found across the world. Because of its preference for certain species of legumes, such as beans and soybeans, it is an economically important pest on such crops."
Spodoptera litura,https://biodiversity.org.au/afd/taxa/4119a01b-3563-4633-b6b3-22dd28b790ce,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,Armyworm Moth,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=121b868a-782a-40ec-87d6-2d58426d1915,"Spodoptera litura, otherwise known as the tobacco cutworm or cotton leafworm, is a nocturnal moth in the family Noctuidae. S. litura is a serious polyphagous pest in Asia, Oceania, and the Indian subcontinent that was first described by Johan Christian Fabricius in 1775. Its common names reference two of the most frequent host plants of the moth…"
Zizeeria karsandra,https://biodiversity.org.au/afd/taxa/38f50242-22b0-4a38-b093-ff6d9a99580f,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Zizeeria,Spotted Grass-blue,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=819c26aa-09ad-46ff-bd27-c71ac53d6865,"Zizeeria karsandra, the dark grass blue, is a small butterfly first described by Frederic Moore in 1865. It is found from the southern Mediterranean, in a broad band to India, Sri Lanka, the Andaman and Nicobar islands, Myanmar, Thailand, Malaysia, Yunnan, Indonesia, the Philippines, Arabia, United Arab Emirates, Saudi Arabia and Oman, New Guinea and northern and eastern Australia…"
Spilopelia chinensis,https://biodiversity.org.au/afd/taxa/d3bf2b8a-e178-4adb-9c5e-bef63c34e032,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia,Spotted Turtle-dove,201267,,,,,https://images.ala.org.au/image/proxyImage?imageId=60425cf2-937e-4b8a-b2dc-4211fb6798d6,The spotted dove or eastern spotted dove is a small and somewhat long-tailed pigeon that is a common resident breeding bird across its native range on the Indian subcontinent and in East and Southeast Asia. The species has been introduced to many parts of the world and feral populations have become established.
Alauda arvensis,https://biodiversity.org.au/afd/taxa/d7a096e8-a06c-47a4-bb78-8c1f80142605,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,Eurasian Skylark,44461,,,,,https://images.ala.org.au/image/proxyImage?imageId=60146072-a44c-432a-af62-8f8e9edd9609,"The Eurasian skylark is a passerine bird in the lark family, Alaudidae. It is a widespread species found across Europe and the Palearctic with introduced populations in Australia, New Zealand and on the Hawaiian Islands. It is a bird of open farmland and heath, known for the song of the male, which is delivered in hovering flight from heights of 50 to 100 metres. The sexes are alike…"
Chloris chloris,https://biodiversity.org.au/afd/taxa/93ed3173-5205-4a49-a1ae-6d49d6af4344,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,European Greenfinch,24088,,,,,https://images.ala.org.au/image/proxyImage?imageId=640adab6-4530-4ce9-b854-221f1e8d07ec,The European greenfinch or simply the greenfinch is a small passerine bird in the finch family Fringillidae.
Cygnus olor,https://biodiversity.org.au/afd/taxa/1d662d0e-95ed-4fbc-8c17-be793e3d300f,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Mute Swan,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=f4818bc9-8a98-49be-9fdd-113f4a4b09ff,"The mute swan is a species of swan and a member of the waterfowl family Anatidae. It is native to much of Eurasia and the far north of Africa. It is an introduced species in North America, home to the largest populations outside of its native range, with additional smaller introductions in Australasia and Southern Africa. The name ""mute"" derives from it being less vocal than other swan species…"
Fulica atra,https://biodiversity.org.au/afd/taxa/bb53b420-0a1f-4a49-9d1e-2a6154c685a8,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Eurasian Coot,191638,,,,,https://images.ala.org.au/image/proxyImage?imageId=0e9da0fe-6981-4277-959f-4d42bcdd7bd3,"The Eurasian coot, also known as the common coot or Australian coot, is a member of the rail and crake bird family, the Rallidae. It is found in Europe, Asia, Australia, New Zealand and parts of North Africa. It has a slaty-black body, a glossy black head and a white bill with a white frontal shield. The sexes are similar in appearance."
