plant_scientific_name,pollinators
Amaranthus caudatus,"Pararge aegeria, Polistes dominula"
Amaranthus tricolor,
Amaranthus hypochondriacus,"Pararge aegeria, Polistes dominula"
Amaranthus cruentus,"Amaranthus hybridus, Pararge aegeria, Polistes dominula"
Cynara scolymus,
Asparagus officinalus,
Asparagus officinalis,"Agapostemon texanus, Agrotis ipsilon, Andrena andrenoides, Andrena chrysopus, Andrena nigrae, Andrena pilipes, Anoplius illinoensis, Anthrenus museorum, Apis, Apis mellifera, Archytas analis, Ashmeadiella bucconis, Asparagus tenuifolius, Auplopus mellipes mellipes, Bibio albipennis, Bombus lapidarius, Bombus lucorum, Bombus terrestris, Carceris robertsonii, Ceratina dupla, Chrysomya, Chrysoperla carnea, Coelioxys alternata, Coelioxys germana, Corticaria distinguenda, Episyrphus balteatus, Eupeodes corollae, Gonochrysis, Harmonia axyridis, Hoplitis leucomelana, Ichneumon ambulatorius, Lasioglossum, Lasioglossum calceatum, Lasioglossum pauxillum, Lasioglossum podolicum, Lasioglossum sexnotatum, Lasius niger, Leptotes pirithous, Leucophora unistriata, Linnaemya, Liris argentatus, Lucilia, Myospila meditabunda, Neotrypetes, Parhelophilus divisus, Phasia, Phorbia, Physocephala tibialis, Platycheirus peltatus, Prosopis, Pseudopanurgus parvus, Rhamphomyia gilvipilosa, Rhingia nasica, Spallanzania hesperidarum, Sphaerophoria scripta, Sphecodium, Strangalepta abbreviata, Strangalia famelica, Syritta pipiens, Tetragona dissecta, Tetralonia, Thorybes daunus, Valsaria rubricosa"
Vigna angularis,
Phaseolus vulgaris,"Allograpta exotica, Amegilla, Andrena intermedia, Andrena labialis, Andrena similis, Andrena wilkella, Anthidium loti, Anthophora aestivalis, Apis mellifera, Bombus, Bombus argillaceus, Bombus dahlbomii, Bombus inexspectatus, Bombus morio, Bombus ruderatus, Bombus terrestris, Brachygastra lecheguana, Ceratina sp., Eucera pollinosa, Exomalopsis analis, Hoplitis ravouxi, Lasioglossum glabriusculum, Lasioglossum griseolum, Lasioglossum lissonotum, Lasioglossum marginellum, Lasioglossum nigripes, Lasioglossum quadrisignatum, Lasioglossum semilucens, Megachile, Megachile analis, Megachile ericetorum, Megachile nigriventris, Megachile pyrenaica, Melitta leporina, Nomada nobilis, Nomada rhenana, Osmia gallarum, Osmia inermis, Osmia mustelina, Osmia rufohirta, Osmia steinmanni, Osmia tergestensis, Osmia uncinata, Osmia viridana, Paratrigona lineata, Pepsis, Polybia dimidiata, Polybia ignobilis, Trigona spinipes, Xylocopa, Xylocopa calens, Xylocopa flavorufa, Xylocopa incostans, Xylocopa nigrita"
Vigna unguiculata var. sesquipedalis,
Beta vulgaris,"Apis mellifera, Beta maritima, Bombus hortorum, Syritta pipiens, Unidentified sp3 M_PL_036"
Momordica charantia,"Amegilla zonata, Apis cercana, Apis mellifera, Appias, Catochrysops, Eurema hecabe, Lasioglossum, Lasioglossum (austrevylaeus) maunga, Lasioglossum albescens, Lassioglossum sp 1, Leptotes, Parnara guttatus, Pelopidas mathias, Potanthus lydia lydia, Thysanoptera, Trigona guianae, Wasmannia auropunctata, Xylocopa, Xylocopa darwini, Xylocopa latipes"
Rubus x hybrid,
Rubus ursinus x ideaus,
