Plant,PlantURL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Category
Amaranth Seeds,https://www.theseedcollection.com.au/all-products?gn=Amaranth Seeds&gg=2226,0,0,0,0,0,0,0,0,1,1,1,0,vegetable;flower
Artichoke Seeds,https://www.theseedcollection.com.au/all-products?gn=Artichoke Seeds&gg=2227,0,0,0,0,0,0,0,0,1,1,1,0,vegetable
Asparagus Crowns,https://www.theseedcollection.com.au/all-products?gn=Asparagus Crowns&gg=2650,0,0,0,0,0,1,1,1,1,1,0,0,vegetable
Asparagus Seeds,https://www.theseedcollection.com.au/all-products?gn=Asparagus Seeds&gg=2228,0,0,0,0,0,0,0,0,1,1,1,0,vegetable
Bean Seeds,https://www.theseedcollection.com.au/all-products?gn=Bean Seeds&gg=2231,1,0,0,0,0,0,0,0,0,1,1,1,vegetable
Beetroot Seeds,https://www.theseedcollection.com.au/all-products?gn=Beetroot Seeds&gg=2232,1,1,1,1,0,0,0,0,1,1,1,1,vegetable
Bitter Melon Seeds,https://www.theseedcollection.com.au/all-products?gn=Bitter Melon Seeds&gg=2233,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Blackberry Canes,https://www.theseedcollection.com.au/all-products?gn=Blackberry Canes&gg=2666,0,0,0,0,0,1,1,1,0,0,0,0,vegetable
Boysenberry Canes,https://www.theseedcollection.com.au/all-products?gn=Boysenberry Canes&gg=2749,0,0,0,0,0,1,1,1,0,0,0,0,vegetable
Broad Bean Seeds,https://www.theseedcollection.com.au/all-products?gn=Broad Bean Seeds&gg=2235,0,0,1,1,1,0,0,1,1,0,0,0,vegetable
Broccoli Seeds,https://www.theseedcollection.com.au/all-products?gn=Broccoli Seeds&gg=2236,1,1,1,0,0,0,0,0,0,0,1,1,vegetable
Brussels Sprouts Seeds,https://www.theseedcollection.com.au/all-products?gn=Brussels Sprouts Seeds&gg=2237,1,1,0,0,0,0,0,0,0,1,1,1,vegetable
Bulb Onion Seeds,https://www.theseedcollection.com.au/all-products?gn=Bulb Onion Seeds&gg=2295,0,1,1,1,1,1,1,1,1,0,0,0,vegetable
Bunching Onion Seeds,https://www.theseedcollection.com.au/all-products?gn=Bunching Onion Seeds&gg=2238,0,0,1,1,1,1,1,1,1,1,1,0,vegetable
Burdock Seeds,https://www.theseedcollection.com.au/all-products?gn=Burdock Seeds&gg=2491,1,1,0,0,0,0,0,0,1,1,1,1,vegetable
Cabbage Seeds,https://www.theseedcollection.com.au/all-products?gn=Cabbage Seeds&gg=2239,0,1,1,1,0,0,0,1,1,0,0,0,vegetable
Cape Gooseberry Seeds,https://www.theseedcollection.com.au/all-products?gn=Cape Gooseberry Seeds&gg=2466,0,0,0,0,0,0,0,0,0,1,1,0,vegetable
Capsicum Seeds,https://www.theseedcollection.com.au/all-products?gn=Capsicum Seeds&gg=2243,0,0,0,0,0,0,0,0,1,1,1,0,vegetable
Carob Seeds,https://www.theseedcollection.com.au/all-products?gn=Carob Seeds&gg=2493,0,0,0,0,0,0,0,0,1,1,1,0,vegetable
Carrot Seeds,https://www.theseedcollection.com.au/all-products?gn=Carrot Seeds&gg=2245,1,1,1,0,0,0,0,1,1,1,1,1,vegetable
Cauliflower Seeds,https://www.theseedcollection.com.au/all-products?gn=Cauliflower Seeds&gg=2246,1,1,1,1,0,0,0,0,0,0,1,1,vegetable
Celeriac Seeds,https://www.theseedcollection.com.au/all-products?gn=Celeriac Seeds&gg=2482,1,0,0,0,0,0,0,0,0,1,1,1,vegetable
Celery Seeds,https://www.theseedcollection.com.au/all-products?gn=Celery Seeds&gg=2247,0,0,0,0,0,0,0,0,1,1,1,1,vegetable
Chia Seeds,https://www.theseedcollection.com.au/all-products?gn=Chia Seeds&gg=2863,0,0,1,1,1,0,0,0,1,1,1,0,vegetable
Chickpea Seeds,https://www.theseedcollection.com.au/all-products?gn=Chickpea Seeds&gg=2494,0,0,0,0,1,1,1,1,0,0,0,0,vegetable
